Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
FDP,2020,1.1588541425125956,1012300000.0,16500000.0,554800000.0,1463400000.0,95000000.0,-150000000.0,49200000.0,20700000.0,0.097466
FDS,2020,0.6669757546430722,841930000.0,585605000.0,276293000.0,1187013000.0,100799000.0,-77642000.0,372938000.0,9829000.0,0.127
FDX,2020,0.9314567449774978,20580000000.0,7087000000.0,13660000000.0,58609000000.0,3793000000.0,-5884000000.0,5231000000.0,793000000.0,0.216
FE,2020,0.5034712959297123,3714000000.0,1734000000.0,5004000000.0,37227000000.0,1199000000.0,-2657000000.0,1079000000.0,988000000.0,0.112
FEIM,2020,0.4478911636939411,61191000.0,9807000.0,20609000.0,43119000.0,3301000.0,-1239000.0,680000.0,127000.0,0.27
FELE,2020,0.9541321661619989,619254000.0,130787000.0,203704000.0,422358000.0,36488000.0,-22856000.0,100460000.0,4627000.0,0.182
FER,2020,0.24445963607945115,12277000000.0,6493000000.0,8435000000.0,19301000000.0,233000000.0,-116000000.0,-424000000.0,310000000.0,0.13
FERG,2020,0.46346105890894806,8129000000.0,1335000000.0,4738000000.0,8706000000.0,298000000.0,-241000000.0,1472000000.0,98000000.0,0.124597
FET,2020,1.546686928658011,490191000.0,128617000.0,124934000.0,483690000.0,51000000.0,-2246000.0,-96889000.0,30268000.0,0.117
FF,2020,0.8997209945041802,342605000.0,198122000.0,32988000.0,69421000.0,11150000.0,-4464000.0,46564000.0,151000.0,0.27
FFIE,2020,0.012439267566621762,14439000.0,1124000.0,849051000.0,895720000.0,3517000.0,-607000.0,-147085000.0,73719000.0,0.0
FGEN,2020,1.324843850783479,755110000.0,678393000.0,163187000.0,385391000.0,22047000.0,-3994000.0,-189291000.0,2402000.0,0.27
FHI,2020,1.3062706445391306,575343000.0,301819000.0,265446000.0,686855000.0,29932000.0,-13500000.0,326364000.0,2678000.0,0.247
FHTX,2020,0.9606859192993663,190687000.0,92795000.0,18846000.0,109407000.0,1327000.0,-16183000.0,-68800000.0,979000.0,0.0
FI,2020,1.0812878320742345,16219000000.0,906000000.0,15637000000.0,41290000000.0,3210000000.0,-900000000.0,958000000.0,716000000.0,0.167
FICO,2020,1.101045570436662,534078000.0,157394000.0,414511000.0,1275158000.0,30367000.0,-21989000.0,236411000.0,42177000.0,0.08
FINV,2020,0.5553148629699823,13477710000.0,2632174000.0,3857870000.0,6451855000.0,96433000.0,-32017000.0,1972700000.0,228320000.0,0.09
FIS,2020,1.1032373850840518,9898000000.0,1959000000.0,12361000000.0,34355000000.0,3714000000.0,-1129000000.0,158000000.0,339000000.0,0.360902
FIVE,2020,1.0361187448723186,755413000.0,268783000.0,435670000.0,1432884000.0,69345000.0,-200189000.0,123361000.0,1736000.0,0.24
FIVN,2020,-0.14510162652533576,689118000.0,220372000.0,103561000.0,784578000.0,30774000.0,-30422000.0,-42130000.0,28348000.0,0.055021
FIX,2020,1.0876113220247297,811852000.0,54896000.0,692904000.0,1060926000.0,60629000.0,-24131000.0,150139000.0,7011000.0,0.216
FL,2020,1.2243508436724158,2835000000.0,1680000000.0,1644000000.0,4267000000.0,176000000.0,-159000000.0,323000000.0,7000000.0,0.345
FLEX,2020,0.9066638260482763,11363000000.0,2637000000.0,7834000000.0,12400000000.0,569000000.0,-351000000.0,613000000.0,161000000.0,0.141457
FLL,2020,1.7138443705880384,46574000.0,37698000.0,24251000.0,155939000.0,7666000.0,-2638000.0,147000.0,8547000.0,0.27
FLNG,2020,1.320146994818558,157845000.0,128878000.0,131832000.0,1468845000.0,41846000.0,-691393000.0,8105000.0,41805000.0,0.01
FLNT,2020,2.062804451776914,86191000.0,21087000.0,50217000.0,93335000.0,15302000.0,-2847000.0,2207000.0,5350000.0,0.271
FLO,2020,0.3464800836201594,838203000.0,307476000.0,504105000.0,1950029000.0,141384000.0,-97929000.0,152318000.0,38790000.0,0.241108
FLR,2020,1.6601278541159254,5034009000.0,2198781000.0,3572037000.0,6046585000.0,105574000.0,-113442000.0,-435046000.0,65370000.0,0.27
FLS,2020,1.247871276796825,2904333000.0,1095274000.0,1141633000.0,3553356000.0,100753000.0,-57405000.0,130420000.0,56185000.0,0.304
FLUT,2020,0.7394948111986493,1991223407.879853,822328522.561566,2700710031.753819,8171906728.26635,879703449.309729,-289055153.522221,51651062.321981,191749458.277117,0.19
FLUX,2020,2.2273886523429995,9838000.0,726000.0,15797000.0,20395000.0,141000.0,-323000.0,-14336000.0,1788000.0,0.0
FLWS,2020,0.9073258754964146,400059000.0,173573000.0,265938000.0,567609000.0,42510000.0,-55219000.0,118652000.0,5860000.0,0.204
