Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
FDP,2021,0.6644524557563853,1096400000.0,16100000.0,629200000.0,1524600000.0,96800000.0,-98500000.0,80000000.0,20300000.0,0.02442
FDS,2021,0.643815642782828,933578000.0,681865000.0,315705000.0,1208587000.0,107322000.0,-61325000.0,399590000.0,8200000.0,0.145476
FDX,2021,0.9396409807943739,20365000000.0,6897000000.0,14274000000.0,61055000000.0,3970000000.0,-6763000000.0,3826000000.0,689000000.0,0.219
FE,2021,0.5448085580948236,3237000000.0,1462000000.0,4416000000.0,36757000000.0,1664000000.0,-2445000000.0,1283000000.0,1064000000.0,0.205
FEIM,2021,-0.10165466920854745,56010000.0,11561000.0,21861000.0,38072000.0,3025000.0,-1860000.0,-8663000.0,77000.0,0.0
FELE,2021,1.22463254177611,724647000.0,40536000.0,396014000.0,626541000.0,44572000.0,-30116000.0,153860000.0,5196000.0,0.183
FEMY,2021,1.2264142817089208,25631410.0,24783029.0,1692090.0,2244298.0,964287.0,-306868.0,-7537845.0,19226.0,0.27
FER,2021,0.019279430497870276,9030000000.0,5489000000.0,6543000000.0,19053000000.0,270000000.0,-124000000.0,1198000000.0,277000000.0,0.31
FERG,2021,0.803269909884005,9551000000.0,771000000.0,5799000000.0,10996000000.0,301000000.0,-290000000.0,2122000000.0,111000000.0,0.225
FET,2021,0.811344339969292,446733000.0,46858000.0,175656000.0,462210000.0,42176000.0,-2399000.0,-82651000.0,32009000.0,0.008
FF,2021,0.7769558796581609,255833000.0,137521000.0,35056000.0,55402000.0,10452000.0,-1456000.0,26255000.0,131000.0,0.27
FFIE,2021,0.6914963451704113,607257000.0,505091000.0,293806000.0,339778000.0,3347000.0,-95681000.0,-516505000.0,46844000.0,0.0
FGEN,2021,1.3739530321923334,474059000.0,171223000.0,225497000.0,544708000.0,14809000.0,-30186000.0,-290023000.0,2153000.0,0.27
FHI,2021,1.2772905383793782,559447000.0,233327000.0,270707000.0,840968000.0,30010000.0,-10421000.0,270293000.0,1785000.0,0.276
FHTX,2021,0.7373840330929239,459562000.0,101136000.0,48692000.0,422903000.0,3227000.0,-3313000.0,-101320000.0,1906000.0,0.0
FI,2021,0.9052119141028439,18870000000.0,835000000.0,18295000000.0,44299000000.0,3196000000.0,-1160000000.0,1334000000.0,696000000.0,0.218
FICO,2021,1.2662746798381772,550974000.0,195354000.0,559207000.0,1678718000.0,25592000.0,-7569000.0,392084000.0,40092000.0,0.171
FIGS,2021,1.8442324498893878,293339000.0,195374000.0,62393000.0,66178000.0,1424000.0,-2712000.0,-9556000.0,239000.0,0.27
FINV,2021,1.5879045968013568,16400800000.0,4418127000.0,4004644000.0,7428941000.0,69233000.0,-55271000.0,2508947000.0,,0.09
FIS,2021,0.8548542798528898,10708000000.0,2010000000.0,14466000000.0,35399000000.0,4015000000.0,-1251000000.0,417000000.0,214000000.0,0.27
FIVE,2021,1.5542875509123444,904739000.0,64973000.0,586901000.0,1760176000.0,84831000.0,-288167000.0,278810000.0,13177000.0,0.247
FIVN,2021,0.9338844491062981,617226000.0,90878000.0,157575000.0,981810000.0,47430000.0,-42216000.0,-53000000.0,8035000.0,0.175546
FIX,2021,1.3312786072188025,1027321000.0,58776000.0,836554000.0,1403448000.0,68944000.0,-22330000.0,143348000.0,4979000.0,0.247
FL,2021,1.3589379181846777,2363000000.0,804000000.0,1735000000.0,4892000000.0,197000000.0,-209000000.0,893000000.0,14000000.0,0.281
FLEX,2021,1.7019757463172753,14337000000.0,2964000000.0,10711000000.0,15118000000.0,484000000.0,-443000000.0,936000000.0,166000000.0,0.095
FLGC,2021,2.8855240978962104,47943000.0,37614000.0,6119000.0,8538000.0,501000.0,-3983000.0,-21249000.0,32000.0,0.005
FLL,2021,1.6558434032567724,275372000.0,88721000.0,38053000.0,361127000.0,7219000.0,-36991000.0,11706000.0,22308000.0,0.036
FLNC,2021,1.5915958853103396,661515000.0,36829000.0,771493000.0,773874000.0,5112000.0,-4292000.0,0.0,1435000.0,0.27
FLNG,2021,1.1659083085050634,224891000.0,200652000.0,131587000.0,1683534000.0,69833000.0,-265934000.0,162205000.0,56221000.0,0.001
FLNT,2021,2.1108677274274017,107200000.0,34467000.0,57940000.0,104772000.0,13170000.0,-2993000.0,-10059000.0,2184000.0,0.27
FLO,2021,0.1369576686774018,746118000.0,185871000.0,519917000.0,1842039000.0,136559000.0,-210853000.0,206187000.0,31534000.0,0.238522
FLR,2021,1.5095995633267731,5181000000.0,2209000000.0,3614000000.0,5522000000.0,74000000.0,-75000000.0,-440000000.0,90000000.0,0.27
FLS,2021,1.1966494214618435,2388677000.0,658452000.0,1131805000.0,2912423000.0,99822000.0,-54936000.0,125949000.0,57617000.0,0.27
FLUT,2021,0.8941210903666643,2647717763.921505,1284449483.089049,2799281993.143844,8755229843.172188,1010000000.0,-359000000.0,-744000000.0,222000000.0,0.19
FLUX,2021,1.990384559229688,21740000.0,4713000.0,10390000.0,13256000.0,274000.0,-1102000.0,-12793000.0,622000.0,0.0
FLWS,2021,1.2675103209955993,348238000.0,31465000.0,265697000.0,585482000.0,49078000.0,-66408000.0,29610000.0,5667000.0,0.048
FLXS,2021,1.3314619624817354,190068000.0,2184000.0,64627000.0,137181000.0,5171000.0,-3853000.0,1853000.0,835000.0,0.21
FLYW,2021,1.9997463136017675,443788000.0,385360000.0,117477000.0,157644000.0,8998000.0,-6684000.0,-28085000.0,2021000.0,0.27
FMC,2021,1.077107541082141,5053800000.0,516800000.0,3520300000.0,7529400000.0,170900000.0,-100100000.0,739600000.0,131100000.0,0.103
FMS,2021,0.39829272067808985,7967242000.0,1481655000.0,7257634000.0,20387521000.0,1623676000.0,-854360000.0,969308000.0,353599000.0,0.224468
FMX,2021,0.4888615972052881,230718000000.0,97407000000.0,136723000000.0,402383000000.0,27987000000.0,-19484000000.0,28495000000.0,14950000000.0,0.347
FN,2021,1.194938456453898,1525171000.0,197996000.0,538487000.0,581959000.0,38738000.0,-90583000.0,200380000.0,432000.0,0.032
FNA,2021,2.2143862867378337,179530000.0,109352000.0,33957000.0,42351000.0,8961000.0,-21289000.0,-13693000.0,1719000.0,0.27
FND,2021,1.5488849744718949,1273345000.0,139444000.0,1032015000.0,2407496000.0,118196000.0,-407671000.0,283230000.0,4924000.0,0.152179
FNGR,2021,0.20307905459882566,10209096.0,461933.0,5278655.0,5278655.0,57894.0,-26072.0,-4943444.0,170141.0,0.0
FNKO,2021,1.6615175449024029,452598000.0,83557000.0,285011000.0,570945000.0,40056000.0,-27759000.0,43900000.0,7167000.0,0.201
FOLD,2021,1.1581715384875126,596834000.0,245197000.0,145975000.0,597771000.0,6209000.0,-3884000.0,-250460000.0,32471000.0,0.27
FONR,2021,0.7844646854341288,118686174.0,48722977.0,16748854.0,53105701.0,8535367.0,-4633174.0,12440906.0,346552.0,0.243
FOR,2021,1.221339001078639,180500000.0,153600000.0,348300000.0,1085800000.0,2700000.0,-1600000.0,110200000.0,,0.246
FORA,2021,0.7349441251583105,35985766.0,18663805.0,6799125.0,31671096.0,2209863.0,-1443042.0,-26551105.0,322379.0,0.27
FORD,2021,1.3933645464168594,12794709.0,1410365.0,7208043.0,12412096.0,327290.0,-67207.0,523805.0,171957.0,0.0
FORM,2021,2.1716591640690877,524039000.0,151010000.0,148754000.0,204740000.0,44519000.0,-66496000.0,83924000.0,602000.0,0.148
FORR,2021,0.8747450492055545,269488000.0,115769000.0,312336000.0,476222000.0,35934000.0,-10745000.0,24844000.0,4222000.0,0.251
FORTY,2021,0.9323083625288866,1302117000.0,485391000.0,947596000.0,1568779000.0,122184000.0,-31056000.0,54585000.0,18070000.0,0.231584
FOSL,2021,-0.00901338057516576,1022755000.0,250844000.0,535647000.0,903361000.0,29606000.0,-10293000.0,25434000.0,25086000.0,0.27
FOUR,2021,1.7572026760704242,1453600000.0,1231500000.0,183800000.0,1942900000.0,104400000.0,-85500000.0,-48200000.0,28000000.0,0.04
FOX,2021,0.5692245032184723,8281000000.0,5200000000.0,2296000000.0,10622000000.0,363000000.0,-307000000.0,1205000000.0,377000000.0,0.27
FOXA,2021,0.47200967811674804,8281000000.0,5200000000.0,2296000000.0,10622000000.0,363000000.0,-307000000.0,1205000000.0,377000000.0,0.27
FOXF,2021,1.524115255239657,724670000.0,179686000.0,229862000.0,621647000.0,43426000.0,-54846000.0,163818000.0,8162000.0,0.13
FPAY,2021,1.8017386475158614,76893272.0,4986559.0,12586724.0,68668437.0,81545295.0,-4065384.0,3272774.0,5238560.0,0.193517
FRD,2021,0.7006686700280275,125362000.0,2598000.0,60811000.0,79588000.0,1320000.0,-8065000.0,14066000.0,255000.0,0.233
FRES,2021,0.9830008124804185,21288000.0,3016000.0,43524000.0,46610000.0,3096000.0,-2492000.0,-80475000.0,1143000.0,0.001091
FREY,2021,0.9457781886119356,15851000.0,14749000.0,10937000.0,10975000.0,15000.0,-71000.0,-9605000.0,53000.0,0.0
FRGE,2021,0.12145053779961432,88085000.0,74781000.0,38023000.0,64479000.0,8194000.0,-3256000.0,-18499000.0,,0.27
FRGT,2021,0.9899646489021053,8521300.0,3152993.0,18260152.0,18260152.0,302100.0,-470402.0,-8200805.0,1136096.0,0.0049
FRHC,2021,1.3562763625145702,3188279000.0,225464000.0,2505017000.0,2683739000.0,3416000.0,-5623000.0,227494000.0,76947000.0,0.106
FRO,2021,0.9764533152104196,332745000.0,113073000.0,287002000.0,2464556000.0,160160000.0,-473761000.0,-14961000.0,61506000.0,0.27
FRPT,2021,1.5373441659742495,150325000.0,72788000.0,58946000.0,64656000.0,30468000.0,-322099000.0,-29699000.0,2882000.0,0.27
FRT,2021,0.9175849212737601,340682000.0,162132000.0,347037000.0,4745464000.0,279976000.0,-440514000.0,261498000.0,127698000.0,0.27
FSI,2021,0.6822219020537772,23809069.0,5710227.0,9823056.0,11845794.0,1231781.0,-782219.0,3449162.0,199930.0,0.35432
FSLR,2021,1.3241293735039026,3191243000.0,1450654000.0,726878000.0,1454195000.0,259900000.0,-540291000.0,468693000.0,13107000.0,0.181
FSLY,2021,1.3437973543993909,624648000.0,166068000.0,131872000.0,1145067000.0,50037000.0,-50387000.0,-222697000.0,5245000.0,0.27
FSP,2021,1.0498470383025262,115729000.0,34308000.0,89493000.0,580970000.0,81007000.0,-67833000.0,92717000.0,32273000.0,0.006865
FSS,2021,1.1368183370404774,431000000.0,40500000.0,170400000.0,582100000.0,50400000.0,-37400000.0,100600000.0,4500000.0,0.145
FSTR,2021,0.6912303502598691,179479000.0,10372000.0,86194000.0,158985000.0,13887000.0,-4620000.0,3626000.0,2956000.0,0.244
FSV,2021,0.8586373380688193,964660000.0,165665000.0,618472000.0,1490166000.0,98965000.0,-58204000.0,135212000.0,16036000.0,0.25
FTAI,2021,0.7847139051215798,2753131000.0,138206000.0,1067290000.0,3739754000.0,229734000.0,-753973000.0,-104234000.0,155017000.0,0.27
FTAIN,2021,0.1986584621954547,2753131000.0,138206000.0,1067290000.0,3739754000.0,229734000.0,-753973000.0,-104234000.0,155017000.0,0.27
FTAIO,2021,0.10338690994281889,2753131000.0,138206000.0,1067290000.0,3739754000.0,229734000.0,-753973000.0,-104234000.0,155017000.0,0.27
FTAIP,2021,0.1022628228353897,2753131000.0,138206000.0,1067290000.0,3739754000.0,229734000.0,-753973000.0,-104234000.0,155017000.0,0.27
FTCI,2021,2.1532548005856453,235779000.0,102185000.0,93248000.0,100154000.0,232000.0,-1025000.0,-106589000.0,814000.0,0.27
FTDR,2021,0.6583451054434248,295000000.0,262000000.0,378000000.0,1066000000.0,35000000.0,-31000000.0,128000000.0,39000000.0,0.234
FTEK,2021,1.8091901041207121,41465000.0,35893000.0,3223000.0,3774000.0,741000.0,-84000.0,54000.0,19000.0,0.206
FTFT,2021,4.842698073938737,72721055.0,50273517.0,7230668.0,10802927.0,62903.0,-3206061.0,-13594935.0,14821.0,0.27
FTHM,2021,1.8307968278325595,54450000.0,37830000.0,21072000.0,24780000.0,2748000.0,-3479000.0,-12491000.0,7000.0,0.206
FTI,2021,0.9778110685288657,5341500000.0,1327400000.0,3851800000.0,6601700000.0,385400000.0,-191700000.0,13300000.0,157300000.0,0.27
FTK,2021,1.0328466097729718,42599000.0,11534000.0,18777000.0,30052000.0,1011000.0,-39000.0,-30526000.0,78000.0,0.001
FTLF,2021,0.20462423900899107,17684000.0,9897000.0,4058000.0,4161000.0,59000.0,,5410000.0,,0.14
FTNT,2021,1.6339014851740161,3600600000.0,1319100000.0,2318100000.0,5120700000.0,84400000.0,-295900000.0,606800000.0,14900000.0,0.02
FTS,2021,0.31384708965968006,2728000000.0,131000000.0,4802000000.0,36743000000.0,1505000000.0,-3386000000.0,1294000000.0,1003000000.0,0.143
FTV,2021,0.8054152853023305,2514900000.0,819300000.0,3714900000.0,6948500000.0,395500000.0,-50000000.0,608400000.0,103200000.0,0.093
FUBO,2021,1.5695784345708252,428505000.0,370968000.0,337297000.0,698897000.0,38620000.0,-7483000.0,-382837000.0,28379000.0,0.0076
FUFU,2021,0.011205307777229164,116243883.0,13312086.0,111461142.0,111461142.0,2860.0,-15746231.0,4926243.0,0.0,0.1748
FUL,2021,1.1096419318103528,1221170000.0,61786000.0,736850000.0,2677170000.0,143174000.0,-96089000.0,161393000.0,78092000.0,0.290674
FUN,2021,0.8632247306579431,263641000.0,61119000.0,381514000.0,3011508000.0,148803000.0,-59183000.0,-48518000.0,184032000.0,0.27
FURY,2021,0.8893625016911944,4688000.0,3259000.0,5116000.0,9663000.0,371000.0,-87000.0,-16790000.0,98000.0,0.185939
FUTU,2021,1.9914918745334411,100702456000.0,4555096000.0,80378301000.0,80552955000.0,120131000.0,-70456000.0,2810210000.0,376902000.0,0.117754
FVRR,2021,1.7156831618391568,468218000.0,71151000.0,189044000.0,584702000.0,6876000.0,-2578000.0,-65012000.0,27932000.0,0.27
FWONA,2021,0.951765735430809,2369000000.0,2074000000.0,1296000000.0,4724000000.0,397000000.0,-17000000.0,-190000000.0,123000000.0,0.235669
FWONK,2021,0.9158527298255316,2369000000.0,2074000000.0,1296000000.0,4724000000.0,397000000.0,-17000000.0,-190000000.0,123000000.0,0.235669
FWRD,2021,1.1513380272614449,282807000.0,37316000.0,164692000.0,524169000.0,34966000.0,-38375000.0,105859000.0,4338000.0,0.251
FWRG,2021,1.1157381537115696,67697000.0,51864000.0,96523000.0,542488000.0,32379000.0,-35682000.0,-2107000.0,20099000.0,0.27
FYBR,2021,0.6650831011869056,2688000000.0,2127000000.0,1451000000.0,11881000000.0,1598000000.0,-1181000000.0,,,
G,2021,1.136019545708882,1921641000.0,899458000.0,1308801000.0,3078136000.0,167572000.0,-57248000.0,369448000.0,58312000.0,0.235302
GAIA,2021,0.9283935257954771,14983000.0,10269000.0,29809000.0,43461000.0,13145000.0,-17340000.0,3731000.0,265000.0,0.27
GAMB,2021,2.7292155975350143,56544000.0,51047000.0,9830000.0,11116000.0,2401000.0,-5574000.0,12453000.0,668000.0,0.27
GAME,2021,1.171596875581046,22058901.0,8601706.0,21824981.0,26808217.0,1735540.0,-78698.0,-4402064.0,729848.0,0.0
GAN,2021,1.7183516789237507,54422000.0,39477000.0,33033000.0,36873000.0,16809000.0,-13950000.0,-30594000.0,2000.0,0.007
GAP,2021,1.6592912843653198,5165000000.0,877000000.0,4077000000.0,10039000000.0,504000000.0,-694000000.0,256000000.0,167000000.0,0.207
GASS,2021,0.7708646944364664,51706378.0,31304151.0,58707768.0,323897572.0,37125903.0,-25224746.0,-35123208.0,12678101.0,0.0
GATO,2021,1.1542834868331173,11766000.0,6616000.0,1406000.0,14026000.0,89000.0,,-65855000.0,185000.0,0.0
GATX,2021,0.8886079532660268,606100000.0,344300000.0,233900000.0,7522500000.0,378400000.0,-1130100000.0,143100000.0,204000000.0,0.273
GAU,2021,1.0538208269684144,61668000.0,53521000.0,107000.0,3433000.0,148000.0,-1501000.0,-68883000.0,32000.0,0.0
GB,2021,0.5411149077819495,184892000.0,51083000.0,269462000.0,1038353000.0,87900000.0,-21101000.0,-97177000.0,22810000.0,0.131
GBIO,2021,1.859456247162276,379186000.0,375145000.0,18808000.0,95025000.0,4532000.0,-5958000.0,-119151000.0,50000.0,0.0
