Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
FDP,2023,0.4129772303579999,1144300000.0,33800000.0,540600000.0,1271400000.0,84800000.0,-57700000.0,-11400000.0,24100000.0,0.21
FDS,2023,0.9050522646470988,770135000.0,425444000.0,484251000.0,2342992000.0,137728000.0,-60786000.0,468173000.0,66319000.0,0.198
FDX,2023,0.8985245197975262,18207000000.0,6501000000.0,13355000000.0,59425000000.0,4287000000.0,-5176000000.0,4331000000.0,745000000.0,0.258
FE,2023,0.4953257702623625,2568000000.0,137000000.0,5386000000.0,37851000000.0,1280000000.0,,1102000000.0,1027000000.0,0.182
FEAM,2023,1.1399804656303751,6809000.0,4896000.0,9708000.0,78798000.0,5329000.0,-7187000.0,-62013000.0,6199000.0,0.0
FEIM,2023,0.007710644856792078,58121000.0,18320000.0,30796000.0,43437000.0,2124000.0,-1492000.0,5594000.0,109000.0,0.21
FELE,2023,1.0803697067812972,853795000.0,84963000.0,287039000.0,517815000.0,52260000.0,-41415000.0,193272000.0,11790000.0,0.196
FEMY,2023,-3.7980479444948543,23177980.0,21716077.0,3054055.0,9403236.0,907985.0,-143917.0,-14247124.0,165390.0,0.21
FER,2023,0.963348316036284,6990000000.0,4754000000.0,5775000000.0,20439000000.0,401000000.0,-86000000.0,460000000.0,467000000.0,0.065
FERG,2023,1.0412789035042895,9410000000.0,571000000.0,5216000000.0,10956000000.0,335000000.0,-372000000.0,1735000000.0,179000000.0,0.296
FET,2023,0.7404464825536367,529604000.0,46165000.0,204339000.0,408428000.0,34728000.0,-7944000.0,-18876000.0,18297000.0,0.21
FF,2023,0.903315513875982,290546000.0,219444000.0,41344000.0,57201000.0,10348000.0,-6022000.0,37382000.0,138000.0,2.7e-05
FFIE,2023,1.141929642442594,91364000.0,1898000.0,261176000.0,302303000.0,45465000.0,-31109000.0,-431744000.0,3041000.0,0.0
FGEN,2023,1.4606542816543333,331559000.0,113688000.0,217668000.0,585728000.0,9930000.0,-2519000.0,-284232000.0,15532000.0,0.21
