Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
A,2023,0.9129593452009337,4186000000.0,1590000000.0,1603000000.0,4918000000.0,271000000.0,-298000000.0,1240000000.0,95000000.0,0.074
AA,2023,1.9597058532785074,4405000000.0,944000000.0,3030000000.0,8310000000.0,632000000.0,-531000000.0,-651000000.0,107000000.0,0.21
AADI,2023,0.6813019159515548,124586000.0,62888000.0,26395000.0,27228000.0,169000.0,-3972000.0,-65765000.0,231000.0,0.0
AAL,2023,1.2977212039595494,13572000000.0,578000000.0,22062000000.0,68260000000.0,2254000000.0,-2596000000.0,822000000.0,2145000000.0,0.266726
AAOI,2023,1.7336887728911543,172605000.0,45366000.0,93358000.0,174317000.0,20427000.0,-9667000.0,-56048000.0,9428000.0,0.0
AAON,2023,1.2044599123201412,408954000.0,287000.0,126749000.0,206212000.0,46792000.0,-109491000.0,177623000.0,4843000.0,0.204
AAP,2023,1.1442949231690256,6377021000.0,503471000.0,5307405000.0,9756598000.0,306454000.0,-242411000.0,29735000.0,88055000.0,0.066317
AAPL,2023,1.1887981769611462,143566000000.0,29965000000.0,145308000000.0,290437000000.0,11519000000.0,-10959000000.0,96995000000.0,3933000000.0,0.147
AAT,2023,1.1779736499462643,190179000.0,82888000.0,98119000.0,1831006000.0,119500000.0,-82980000.0,64690000.0,64706000.0,0.015837
ABAT,2023,0.16336031901341314,18406048.0,7001786.0,15798298.0,16207492.0,1779781.0,-12689341.0,-52501824.0,158078.0,0.0
ABBV,2023,0.13266257555503638,33002000000.0,12814000000.0,37841000000.0,124314000000.0,8698000000.0,-777000000.0,4863000000.0,2224000000.0,0.22
ABCL,2023,0.9653548596180828,871985000.0,133320000.0,119013000.0,335776000.0,30894000.0,-77507000.0,-146398000.0,,0.158772
ABEO,2023,0.9173300097296184,55737000.0,14473000.0,13422000.0,49176000.0,3198000.0,-331000.0,-54188000.0,418000.0,0.0
ABEV,2023,0.4659301487575006,36563100000.0,16059000000.0,41005100000.0,52500500000.0,6415200000.0,-6004100000.0,14501900000.0,2815700000.0,0.005
ABG,2023,1.4709861139031857,3057100000.0,45700000.0,2875700000.0,6915300000.0,67700000.0,-142300000.0,602500000.0,165700000.0,0.248
ABL,2023,0.013814157891933007,31776834.0,25588668.0,23326331.0,167755991.0,3409928.0,-189674.0,9516626.0,9866821.0,0.14
ABLV,2023,1.3964972474008568,48535125.0,13328156.0,15652953.0,43491116.0,880418.0,-455423.0,9750046.0,842246.0,0.167
ABM,2023,0.8005524637987029,1710700000.0,69500000.0,1217900000.0,3133800000.0,120700000.0,-52600000.0,251300000.0,82300000.0,0.241
ABNB,2023,1.6327238598796034,16509000000.0,6874000000.0,9950000000.0,12480000000.0,44000000.0,,4792000000.0,83000000.0,0.21
ABOS,2023,1.5613185615024503,246615000.0,66886000.0,12971000.0,43152000.0,184000.0,-21000.0,-52371000.0,581000.0,0.0
ABSI,2023,2.9731811474564993,120578000.0,72362000.0,29558000.0,41122000.0,14000000.0,-860000.0,-110566000.0,1010000.0,0.21
ABT,2023,0.6753245811281287,22670000000.0,6896000000.0,13841000000.0,34387000000.0,3243000000.0,-2202000000.0,5723000000.0,637000000.0,0.141
ABTS,2023,1.5644026740582528,1658544.0,884199.0,1005608.0,1005608.0,4973729.0,-9250538.0,-12605303.0,18851.0,0.0
ABUS,2023,0.9654391192809411,132027000.0,26285000.0,22487000.0,38383000.0,1404000.0,-1008000.0,-72849000.0,459000.0,0.0
ABVC,2023,0.22685540498002824,1656709.0,60155.0,5932490.0,6361627.0,28531.0,-21201.0,-10515656.0,2493340.0,0.21
AC,2023,0.6859449015742529,450971000.0,317487000.0,24801000.0,30719000.0,360000.0,,37451000.0,462000.0,0.195
ACA,2023,1.0075282701442423,912000000.0,104800000.0,431200000.0,1245900000.0,,-203500000.0,159200000.0,28100000.0,0.187
ACB,2023,2.1939460708997753,426605000.0,113439000.0,124620000.0,236803000.0,33071000.0,-16956000.0,-69326000.0,14186000.0,0.009295
ACCD,2023,2.066468441803106,284912000.0,185718000.0,107850000.0,342686000.0,45164000.0,-12482000.0,-99805000.0,,0.21
ACCO,2023,1.1496641427238374,855400000.0,66400000.0,542000000.0,1857800000.0,76100000.0,-13800000.0,-21800000.0,58600000.0,0.21
ACDC,2023,1.6496974369187425,638100000.0,25300000.0,648900000.0,1800800000.0,433200000.0,-267000000.0,-97700000.0,154900000.0,0.21
ACEL,2023,0.8500894120108272,312594000.0,261611000.0,109650000.0,714489000.0,59117000.0,-81744000.0,45603000.0,33144000.0,0.306
ACET,2023,0.8950296251310429,162272000.0,159711000.0,19287000.0,37120000.0,6098000.0,-4464000.0,-142658000.0,25000.0,0.0
ACHC,2023,0.771481172610058,596000000.0,100073000.0,885781000.0,2471181000.0,132349000.0,-424133000.0,-21667000.0,82125000.0,0.382
ACHR,2023,2.2956184712561436,480200000.0,464600000.0,114000000.0,187200000.0,6500000.0,-44300000.0,-457900000.0,,0.21
ACHV,2023,1.7353220649298655,16982000.0,15496000.0,20813000.0,20819000.0,228000.0,-21000.0,-29815000.0,2853000.0,0.0
ACI,2023,0.1432515463227148,6287500000.0,188700000.0,7457700000.0,23473600000.0,2444200000.0,-2031300000.0,1296000000.0,492400000.0,0.184
ACIU,2023,1.3048082419510738,125153000.0,78494000.0,13576000.0,22171000.0,2215000.0,-801000.0,-54233000.0,176000.0,0.1
ACIW,2023,1.2798903524994276,1406645000.0,164239000.0,1037249000.0,2120442000.0,133993000.0,-37777000.0,121509000.0,78486000.0,0.18
ACLS,2023,1.9909904656969326,1079991000.0,167297000.0,285129000.0,417085000.0,13069000.0,-20656000.0,246263000.0,5347000.0,0.116066
ACLX,2023,0.5437266265359216,716363000.0,394583000.0,118238000.0,339752000.0,2040000.0,-21428000.0,-70690000.0,3842000.0,0.21
ACM,2023,0.8098462662182877,6169511000.0,1260206000.0,5850283000.0,8849687000.0,175725000.0,-105600000.0,55332000.0,159342000.0,0.263
ACMR,2023,2.1225178835317315,1176110000.0,182090000.0,500659000.0,564746000.0,8092000.0,-64338000.0,77349000.0,2681000.0,0.1666
