Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
A,2022,1.117108669984627,3778000000.0,1053000000.0,1861000000.0,5227000000.0,317000000.0,-291000000.0,1254000000.0,84000000.0,0.166
AA,2022,1.401664629821728,5250000000.0,1363000000.0,3004000000.0,8167000000.0,617000000.0,-480000000.0,-123000000.0,106000000.0,0.21
AADI,2022,1.1337454589926006,180029000.0,39019000.0,18835000.0,25859000.0,159000.0,-444000.0,-60513000.0,230000.0,0.0
AAL,2022,1.5498944656162301,15269000000.0,440000000.0,21496000000.0,70515000000.0,2298000000.0,-2546000000.0,127000000.0,1962000000.0,0.317204
AAOI,2022,1.3781090411553139,183164000.0,24685000.0,138582000.0,223593000.0,23202000.0,-3708000.0,-66397000.0,6319000.0,0.0
AAON,2022,0.8427296325350463,349116000.0,5451000.0,145567000.0,253189000.0,35430000.0,-76024000.0,100376000.0,2627000.0,0.194
AAP,2022,0.8533865861253079,6014817000.0,270805000.0,5420851000.0,9387255000.0,283800000.0,-425961000.0,464402000.0,51060000.0,0.231583
AAPL,2022,1.3074628264214256,135405000000.0,23646000000.0,153982000000.0,302083000000.0,11104000000.0,-10708000000.0,99803000000.0,2931000000.0,0.162
AAT,2022,0.6993386090637855,153888000.0,49571000.0,139465000.0,1802356000.0,123338000.0,-113781000.0,55877000.0,58232000.0,0.014984
ABAT,2022,1.3842424202548578,4753590.0,2320149.0,13734864.0,13789168.0,197730.0,-14835174.0,-22191140.0,128560.0,0.0
ABBV,2022,0.3455820586709079,28463000000.0,9201000000.0,29538000000.0,121518000000.0,8467000000.0,-695000000.0,11836000000.0,2230000000.0,0.121
ABCL,2022,1.3604647431593944,1025491000.0,386535000.0,118320000.0,307630000.0,33102000.0,-72660000.0,158519000.0,4045000.0,0.337015
ABEO,2022,0.9800086896944222,53099000.0,14217000.0,7779000.0,37453000.0,4577000.0,-130000.0,-39696000.0,736000.0,0.0
ABEV,2022,0.6274852642131701,37816700000.0,14926400000.0,40540400000.0,54630200000.0,5956300000.0,-6533100000.0,14457900000.0,2892800000.0,0.34
ABG,2022,1.124509192389714,1909800000.0,235300000.0,1033400000.0,5118100000.0,69000000.0,-107900000.0,997300000.0,160600000.0,0.244
ABL,2022,-0.00034772896816611645,33282927.0,30052823.0,1302409.0,30945150.0,4282.0,-79099.0,31682275.0,42798.0,0.22
ABM,2022,0.8396146003813253,1561200000.0,73000000.0,1353200000.0,3151700000.0,112400000.0,-50800000.0,230400000.0,41100000.0,0.257
ABNB,2022,1.7461577938038535,14861000000.0,7378000000.0,7978000000.0,10478000000.0,81000000.0,-25000000.0,1893000000.0,24000000.0,0.048
ABOS,2022,1.3487858659213616,180329000.0,130101000.0,7812000.0,7812000.0,169000.0,-161000.0,-42856000.0,0.0,0.0
ABSI,2022,1.8518784839074207,186863000.0,59955000.0,30270000.0,46594000.0,13100000.0,-16175000.0,-104904000.0,972000.0,0.004
ABT,2022,0.8298821846677101,25224000000.0,9882000000.0,15489000000.0,37533000000.0,3267000000.0,-1777000000.0,6933000000.0,558000000.0,0.165
ABTS,2022,0.8535020677278643,4890262.0,2505286.0,613455.0,613455.0,6264700.0,-32707108.0,-21520114.0,0.0,0.0
ABUS,2022,1.2088998807644633,151139000.0,30776000.0,32857000.0,58567000.0,1427000.0,-512000.0,-69456000.0,1726000.0,0.21
ABVC,2022,0.5527695077759895,2987247.0,85265.0,5543629.0,6343435.0,23799.0,-119692.0,-16423239.0,293968.0,0.21
AC,2022,0.4819801956879661,433179000.0,218462000.0,24427000.0,27301000.0,341000.0,,-48907000.0,216000.0,0.247
ACA,2022,0.8071246103230204,856800000.0,160400000.0,367700000.0,1156200000.0,,-138000000.0,245800000.0,31000000.0,0.223
ACB,2022,1.9264359389564707,745121000.0,437807000.0,130857000.0,422002000.0,93660000.0,-32213000.0,-1717624000.0,71813000.0,0.001245
ACCD,2022,2.7318727032055166,365949000.0,321083000.0,119414000.0,429283000.0,46377000.0,-7228000.0,-459650000.0,,0.008
ACCO,2022,0.813623841137205,882300000.0,62200000.0,589000000.0,1984600000.0,79400000.0,-16500000.0,-13200000.0,45600000.0,0.21
ACDC,2022,1.0996649134306953,865400000.0,35100000.0,683900000.0,1582900000.0,266800000.0,-356200000.0,91500000.0,59500000.0,0.026
ACEL,2022,0.9378607496909241,299212000.0,224113000.0,89905000.0,684179000.0,46779000.0,-47379000.0,74102000.0,21637000.0,0.218
ACET,2022,1.4994109640333502,261038000.0,257656000.0,19707000.0,38352000.0,2575000.0,-16782000.0,-69790000.0,80000.0,0.0
ACHC,2022,0.8847856972559296,506125000.0,97649000.0,388326000.0,2086917000.0,117769000.0,-296149000.0,273139000.0,69760000.0,0.252
ACHR,2022,1.8295025172311137,545500000.0,69400000.0,53300000.0,80500000.0,4400000.0,-6900000.0,-317300000.0,,0.0
ACHV,2022,0.6759112513223224,27330000.0,24721000.0,21599000.0,21668000.0,236000.0,,-42350000.0,1789000.0,0.0
ACI,2022,0.41346414488467287,6270400000.0,455800000.0,8428800000.0,24511800000.0,2459800000.0,-2153900000.0,1513500000.0,456300000.0,0.218
ACIU,2022,1.234416125759606,128094000.0,31586000.0,11481000.0,16947000.0,2359000.0,-1239000.0,-70753000.0,355000.0,0.13
ACIW,2022,1.007367997357622,1114805000.0,124981000.0,858842000.0,2016708000.0,138364000.0,-39893000.0,142177000.0,53193000.0,0.31
ACLS,2022,1.999297997769636,877645000.0,185595000.0,248132000.0,346385000.0,11607000.0,-10683000.0,183079000.0,5576000.0,0.106
ACLX,2022,0.7424885196310538,266863000.0,64179000.0,56693000.0,108863000.0,1321000.0,-2277000.0,-188679000.0,1720000.0,0.0
