Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
A,2021,0.9807259991587991,3799000000.0,1484000000.0,1708000000.0,5316000000.0,321000000.0,-188000000.0,1210000000.0,81000000.0,0.11
AA,2021,1.6923678898456074,5026000000.0,1814000000.0,3223000000.0,8741000000.0,664000000.0,-390000000.0,429000000.0,195000000.0,0.27
AADI,2021,-0.6085214616499302,151272000.0,148989000.0,15273000.0,21504000.0,105000.0,-46000.0,-110090000.0,665000.0,0.27
AAL,2021,1.09084538457667,17336000000.0,273000000.0,19006000000.0,73807000000.0,2335000000.0,-208000000.0,-1993000000.0,1800000000.0,0.217818
AAOI,2021,1.0583700033186783,194079000.0,34656000.0,108957000.0,199889000.0,25371000.0,-8438000.0,-54162000.0,5620000.0,0.0
AAON,2021,0.774077868877335,218080000.0,2859000.0,86768000.0,184010000.0,30416000.0,-55362000.0,58758000.0,132000.0,0.151
AAP,2021,0.8265823588078837,6275476000.0,601428000.0,5180307000.0,9065918000.0,259933000.0,-289639000.0,596615000.0,37791000.0,0.237546
AAPL,2021,1.3141070575415255,134836000000.0,34940000000.0,125481000000.0,287912000000.0,11284000000.0,-11085000000.0,94680000000.0,2645000000.0,0.133
AAT,2021,0.9230049004467651,238829000.0,139524000.0,102969000.0,1807804000.0,116306000.0,-104588000.0,36593000.0,58587000.0,0.019769
ABAT,2021,2.0284656873083384,29888992.0,28989166.0,3052141.0,3227930.0,114629.0,-15082714.0,-33539962.0,20.0,0.0
ABBV,2021,0.5966356368933896,27928000000.0,9746000000.0,35194000000.0,131093000000.0,8521000000.0,-787000000.0,11542000000.0,2423000000.0,0.111
ABCL,2021,0.8489688865525368,929800000.0,476142000.0,120676000.0,292836000.0,17250000.0,-58452000.0,153464000.0,5225000.0,0.299728
ABEO,2021,0.8284810539767764,56292000.0,32938000.0,16623000.0,37218000.0,4464000.0,-4151000.0,-84936000.0,3656000.0,0.0
ABEV,2021,0.8435162225799919,38627000000.0,16627700000.0,38866200000.0,54584900000.0,5396700000.0,-7677100000.0,12671000000.0,1837400000.0,0.046
ABG,2021,1.1968406938084684,1929400000.0,178900000.0,1597900000.0,5887100000.0,41900000.0,-82000000.0,532400000.0,102100000.0,0.237
ABL,2021,0.13862310059002436,3535189.0,2599302.0,2336815.0,2569002.0,31244.0,-226664.0,997415.0,0.0,0.0012
ABM,2021,0.927333224952771,1401200000.0,62800000.0,1285800000.0,2826900000.0,89900000.0,-34300000.0,126300000.0,28600000.0,0.298
ABNB,2021,1.1622728939601998,12386000000.0,6067000000.0,6359000000.0,8933000000.0,138000000.0,-25322000.0,-352000000.0,438000000.0,0.27
ABOS,2021,1.1327816837092242,198661000.0,122162000.0,5147000.0,5147000.0,4000.0,-40000.0,-100606000.0,,0.0
ABSI,2021,2.326921935445373,273079000.0,252569000.0,33859000.0,60088000.0,6654000.0,-38047000.0,-100960000.0,3432000.0,0.081
ABT,2021,0.5277350828069927,24239000000.0,9799000000.0,13105000000.0,39172000000.0,3538000000.0,-1885000000.0,7071000000.0,533000000.0,0.139
ABTS,2021,1.3523758032634792,2737112.0,2507404.0,1170096.0,1170096.0,0.0,,-2739850.0,61997.0,0.0
ABUS,2021,0.43915804090169996,160661000.0,109282000.0,11221000.0,35046000.0,1753000.0,-809000.0,-76247000.0,2857000.0,0.0
ABVC,2021,0.2077839547112077,7653782.0,5828548.0,3692312.0,4827691.0,11993.0,-17503.0,-12838813.0,227210.0,0.27
AC,2021,0.9348895548510279,616040000.0,319048000.0,47349000.0,267990000.0,379000.0,,59203000.0,310000.0,0.218
ACA,2021,1.6223754157855135,767900000.0,72900000.0,364000000.0,1234800000.0,,-85100000.0,69600000.0,23400000.0,0.167
ACB,2021,1.0742087268408569,665892000.0,421457000.0,116375000.0,567031000.0,98076000.0,-53082000.0,-693625000.0,66437000.0,0.009033
ACCD,2021,2.0441948560171848,409137000.0,365853000.0,111753000.0,429735000.0,42608000.0,-3617000.0,-123124000.0,2905000.0,0.044
ACCO,2021,1.2669204954096374,924900000.0,41200000.0,708600000.0,2226500000.0,85700000.0,-21200000.0,101900000.0,46300000.0,0.085
ACEL,2021,1.0498161525829737,247995000.0,198786000.0,71835000.0,457612000.0,46676000.0,-29753000.0,31559000.0,12702000.0,0.322419
ACET,2021,1.2794951573795512,282438000.0,277544000.0,16317000.0,35809000.0,1538000.0,-13046000.0,-61999000.0,176000.0,0.002
ACHC,2021,1.197715666475764,495031000.0,133813000.0,404861000.0,2185201000.0,106717000.0,-244811000.0,190635000.0,76993000.0,0.245
ACHR,2021,0.9420927548717738,754800000.0,746600000.0,28300000.0,69500000.0,1300000.0,-3500000.0,-347800000.0,1000000.0,0.0
ACHV,2021,0.9997182330877933,44594000.0,43022000.0,4550000.0,19474000.0,250000.0,,-33152000.0,0.0,0.0
ACI,2021,0.22579860913598068,8366400000.0,2902000000.0,8348500000.0,24417300000.0,2305200000.0,-1606500000.0,1619600000.0,461600000.0,0.228578
ACIU,2021,1.0516324199732359,202634000.0,82216000.0,20026000.0,29464000.0,2406000.0,-2635000.0,-72996000.0,581000.0,0.03
ACIW,2021,1.344976861295732,937434000.0,122059000.0,754155000.0,1913964000.0,143908000.0,-45368000.0,127791000.0,45060000.0,0.270037
ACLS,2021,2.644518308380396,619246000.0,294923000.0,150140000.0,214281000.0,10818000.0,-8718000.0,98650000.0,4835000.0,0.181
ACM,2021,1.3129248348201432,6173543000.0,1229196000.0,5521715000.0,8904377000.0,176400000.0,-136262000.0,173185000.0,238352000.0,0.218
ACMR,2021,2.140866232277141,952934000.0,562548000.0,205939000.0,240514000.0,2353000.0,-9712000.0,37757000.0,765000.0,0.0031
ACN,2021,1.0486090625972007,19666511000.0,8168174000.0,15708867000.0,23078729000.0,1891242000.0,-580132000.0,5906809000.0,59492000.0,0.228
ACNT,2021,0.40997231357813035,126883000.0,236000.0,31050000.0,126689000.0,10600000.0,-3748000.0,20245000.0,1486000.0,0.206
ACST,2021,2.1451538647397075,45281000.0,30339000.0,3260000.0,20350000.0,0.0,,-9819000.0,,0.061909
ACTG,2021,1.485048119945363,730682000.0,308943000.0,200190000.0,368381000.0,10688000.0,-21091000.0,149197000.0,7922000.0,0.14
ACU,2021,0.46160963057353943,95250614.0,4843349.0,20275112.0,67356723.0,4048574.0,-6372615.0,13655679.0,921965.0,0.1
ACVA,2021,1.0067900226788662,857413000.0,565294000.0,423362000.0,426863000.0,8753000.0,-14029000.0,-78182000.0,782000.0,0.27
ADAG,2021,0.9748577614393565,185953834.0,174391243.0,29821914.0,32952013.0,1125032.0,-2509926.0,-73177935.0,363762.0,0.25
ADBE,2021,1.4075802606324224,8669000000.0,3844000000.0,6932000000.0,12444000000.0,788000000.0,-348000000.0,4822000000.0,113000000.0,0.15
ADCT,2021,0.6947880068553672,525182000.0,466544000.0,73935000.0,451884000.0,2630000.0,-6376000.0,-230026000.0,18340000.0,0.085402
ADD,2021,1.2179510453300195,7642627.0,174189.0,4124666.0,4124666.0,3717095.0,-66923243.0,-8238513.0,14226.0,0.0
ADEA,2021,1.105463839071236,519474000.0,80428000.0,189747000.0,1129594000.0,227202000.0,-14136000.0,-55457000.0,38973000.0,0.066309
ADI,2021,1.3675362496205463,5378317000.0,1977964000.0,2770312000.0,14329529000.0,1074634000.0,-343676000.0,1390422000.0,184825000.0,0.27
ADIL,2021,1.4499726059311935,5135838.0,4401114.0,1505378.0,1505378.0,564.0,,-19423326.0,,0.0048
ADM,2021,0.8076159422871156,31909000000.0,943000000.0,21948000000.0,33369000000.0,996000000.0,-1169000000.0,2709000000.0,265000000.0,0.174464
ADMA,2021,0.9827310664043767,208729311.0,51089118.0,30378315.0,135080158.0,5496000.0,-13511000.0,-71648000.0,13057000.0,0.0
ADNT,2021,1.9865607978169546,5086000000.0,1521000000.0,3511000000.0,7820000000.0,330000000.0,-260000000.0,1108000000.0,256000000.0,0.173037
ADP,2021,0.8910361607408805,54804900000.0,1436300000.0,55158700000.0,59842900000.0,515100000.0,-553400000.0,2948900000.0,81900000.0,0.225
ADPT,2021,1.7032391546935335,402748000.0,139065000.0,113807000.0,319242000.0,13953000.0,-61746000.0,-207279000.0,0.0,0.0
ADSE,2021,-0.08291550873790683,127152000.0,101813000.0,30440000.0,54332000.0,3485000.0,-5585000.0,-87640000.0,2570000.0,0.3
ADSK,2021,1.5442800729467108,2625500000.0,1772200000.0,3254700000.0,6314300000.0,124000000.0,-96000000.0,497000000.0,65000000.0,0.120354
ADT,2021,1.4421131618469005,992531000.0,24453000.0,1703345000.0,13645632000.0,1914779000.0,-862922000.0,-340820000.0,456825000.0,0.277
ADTN,2021,1.4317115235320286,376325000.0,56603000.0,155359000.0,211915000.0,16084000.0,-5669000.0,-8635000.0,34000.0,0.27
ADTX,2021,1.1174355070308652,9416704.0,7872061.0,3607160.0,6483134.0,476236.0,-1015752.0,-46371364.0,1938567.0,0.0
ADUS,2021,1.4170082835917586,324341000.0,168895000.0,117689000.0,373241000.0,14494000.0,-4645000.0,45126000.0,5806000.0,0.252
ADV,2021,0.9154457000353645,1104314000.0,164622000.0,645520000.0,3271974000.0,240041000.0,-31175000.0,54494000.0,137927000.0,0.369
ADXN,2021,0.4116264408578895,21941776.0,20484836.0,4134843.0,5610684.0,347613.0,-31549.0,-15351914.0,63012.0,0.0
AE,2021,0.522658107818121,273210000.0,97825000.0,186011000.0,214317000.0,19797000.0,-12382000.0,11888000.0,746000.0,0.24
AEE,2021,0.32496098513886973,1968000000.0,8000000.0,2826000000.0,25906000000.0,1277000000.0,-3523000000.0,990000000.0,383000000.0,0.14
AEHL,2021,1.9156755698299532,132329000.0,27880000.0,94986000.0,128311000.0,84000.0,-1279000.0,-88752000.0,51000.0,0.25
AEI,2021,2.293402165451442,142731573.0,56061309.0,13537003.0,13920357.0,777704.0,-227821.0,-103323176.0,317281.0,0.27
AEIS,2021,1.9815179620579388,1162234000.0,544372000.0,370196000.0,945844000.0,52893000.0,-28817000.0,134736000.0,3576000.0,0.094169
AEM,2021,0.4868016644021627,1302388000.0,185786000.0,761813000.0,4216319000.0,738129000.0,-946998000.0,561945000.0,76164000.0,0.398
AEMD,2021,0.12489774727095448,18157007.0,17072419.0,1824049.0,2426554.0,123685.0,-349193.0,-10416091.0,,0.0
AENT,2021,0.03556084833985668,20456.0,17956.0,2409656.0,3103556.0,,,2943538.0,,0.082445
AEO,2021,1.3351059766577686,1396924000.0,434770000.0,842871000.0,2362971000.0,171151000.0,-233847000.0,419629000.0,34632000.0,0.249
AEP,2021,0.3366973343279811,7809200000.0,403400000.0,12426700000.0,64988500000.0,3046400000.0,-5764100000.0,2488100000.0,1199100000.0,0.045981
AER,2021,1.3917135723908913,6361413000.0,1728794000.0,1713304000.0,57922408000.0,1737925000.0,-1789781000.0,1000507000.0,1230466000.0,0.142
AERT,2021,-0.12428039544785008,11929000.0,351000.0,6613000.0,10166000.0,1140000.0,-1654000.0,4032000.0,444000.0,0.211228
AES,2021,1.1606177275022125,5356000000.0,943000000.0,4732000000.0,28396000000.0,1056000000.0,-2116000000.0,-409000000.0,911000000.0,0.13
AEYE,2021,1.2442640791655792,24831000.0,18966000.0,11216000.0,11716000.0,1587000.0,-1571000.0,-14209000.0,12000.0,0.0
AFMD,2021,1.3952753632587553,206394000.0,197630000.0,64547000.0,89184000.0,1334000.0,-3850000.0,-57523000.0,712000.0,0.27
AFRI,2021,0.02049659745513491,117548000.0,14393000.0,202897000.0,252250000.0,5210000.0,-5467000.0,-7982000.0,10362000.0,0.01
AFRM,2021,1.8778181142126564,5676568000.0,1255171000.0,107074000.0,4355537000.0,52722000.0,-111705000.0,-707417000.0,69694000.0,0.024
AFYA,2021,0.6737130288204282,1206852000.0,748562000.0,766506000.0,3447388000.0,154220000.0,-276800000.0,223326000.0,175649000.0,0.114
AGAE,2021,0.41502917381225923,94260847.0,92887030.0,5249231.0,7156865.0,3305895.0,-191668.0,62865731.0,268752.0,0.0
AGBA,2021,0.06864710107237244,83779515.0,38595610.0,61364728.0,61364728.0,45383.0,-3603.0,96463523.0,484020.0,0.195929
AGCO,2021,1.3046921545526171,5014100000.0,882200000.0,3454600000.0,5738300000.0,281800000.0,-269800000.0,897000000.0,25400000.0,0.114794
AGEN,2021,1.197571534563176,331974000.0,291931000.0,156943000.0,418049000.0,6788000.0,-33814000.0,-23926000.0,65719000.0,0.0
