Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
SNOA,2022,1.0718840902666016,13798000.0,3820000.0,3717000.0,8254000.0,125000.0,-269000.0,-5151000.0,,0.006
SNPS,2022,1.3644258689515374,3012669000.0,1417608000.0,2774499000.0,3858897000.0,228405000.0,-139082000.0,984594000.0,1698000.0,0.123
SNSE,2022,1.1232518736912835,108589000.0,17795000.0,9066000.0,14968000.0,1347000.0,-321000.0,-48588000.0,219000.0,0.0
SNT,2022,0.33659152204675824,35259000.0,14937000.0,10638000.0,14199000.0,1430000.0,-158000.0,3831000.0,273000.0,0.23
SNX,2022,1.0921547004682512,20500865000.0,522604000.0,16428721000.0,21708492000.0,463365000.0,-117049000.0,651307000.0,222578000.0,0.2126
SNY,2022,0.3842679359717931,34111000000.0,12736000000.0,23974000000.0,51570000000.0,3420000000.0,-2201000000.0,8371000000.0,461000000.0,0.192
SO,2022,0.4395962700189058,10416000000.0,1917000000.0,15724000000.0,100359000000.0,4064000000.0,-7923000000.0,3535000000.0,2022000000.0,0.188
SOAR,2022,0.003579352045926638,10701000.0,5777000.0,30160000.0,35926000.0,161000.0,-259000.0,-9367000.0,866000.0,0.0056
SOHU,2022,0.7835630891032214,1325720000.0,697821000.0,416888000.0,867066000.0,31298000.0,-23841000.0,-17343000.0,0.0,0.25
SOL,2022,1.4300348942107222,220729000.0,107105000.0,43297000.0,105206000.0,6817000.0,-37617000.0,-4672000.0,3167000.0,0.19
SOND,2022,2.0670036106489142,313848000.0,246624000.0,260428000.0,1600111000.0,166305000.0,-29693000.0,-245031000.0,21505000.0,0.21
SONM,2022,1.2311255123698814,43632000.0,13213000.0,32062000.0,33641000.0,2375000.0,-8000.0,-14087000.0,97000.0,0.21
SONO,2022,1.427623817383128,867391000.0,274855000.0,535639000.0,627875000.0,38504000.0,-46216000.0,67383000.0,552000.0,0.019598
SONY,2022,0.9520223106361286,5722532000000.0,1480900000000.0,9318409000000.0,24496945000000.0,1004590000000.0,-613635000000.0,1005277000000.0,26398000000.0,0.206
SOPA,2022,1.4100019969966149,22996945.0,18930986.0,11614299.0,12687425.0,3307832.0,-566266.0,-33786107.0,25105.0,0.21
SOPH,2022,1.2314883470434428,196255000.0,161305000.0,26810000.0,43708000.0,5571000.0,-10381000.0,-87449000.0,639000.0,0.001553
SOS,2022,1.7663165091436603,441188000.0,259492000.0,45581000.0,45958000.0,8653000.0,-16030000.0,-229447000.0,,0.25
SOTK,2022,0.020080538909284042,16575422.0,3354601.0,5457895.0,5540760.0,510868.0,-555867.0,635905.0,,0.194969
SOUN,2022,1.1199205930569132,17703000.0,9245000.0,38571000.0,74551000.0,7226000.0,-1329000.0,-116713000.0,6893000.0,0.21
SOWG,2022,-0.4233379694291163,2578057.0,276464.0,890177.0,6087690.0,321147.0,-2686786.0,-12127068.0,1277965.0,0.0
SPB,2022,1.0366013222583377,3235300000.0,243700000.0,1188100000.0,4506500000.0,99300000.0,-64000000.0,71600000.0,99400000.0,0.148
SPCB,2022,0.7457527065289081,26290000.0,4042000.0,5239000.0,38909000.0,2691000.0,-2137000.0,-7457000.0,1770000.0,0.038551
SPCE,2022,2.288986086972976,1001614000.0,302291000.0,184053000.0,659715000.0,11098000.0,-16489000.0,-500152000.0,12130000.0,0.21
SPG,2022,0.9848460346512994,2107501000.0,621628000.0,3193408000.0,29187383000.0,1292113000.0,-650024000.0,2139535000.0,761253000.0,0.032932
SPGI,2022,0.9471384333757518,5667000000.0,1286000000.0,5999000000.0,22040000000.0,1013000000.0,-89000000.0,3248000000.0,304000000.0,0.251
SPH,2022,0.38433247779728685,174860000.0,4100000.0,306622000.0,1606196000.0,58848000.0,-44352000.0,139708000.0,60658000.0,0.003061
SPHR,2022,1.0381709082525472,623913000.0,131965000.0,692141000.0,2389150000.0,103375000.0,-1058978000.0,502772000.0,0.0,0.375424
SPI,2022,1.3528717664160175,84067000.0,9765000.0,173838000.0,202130000.0,9043000.0,-1316000.0,-45491000.0,5137000.0,0.3
SPIR,2022,1.897869190833745,96776000.0,47196000.0,33368000.0,146389000.0,20685000.0,-18915000.0,-89411000.0,13955000.0,0.21
SPLP,2022,0.3006014074956427,1805228000.0,234448000.0,1649143000.0,2434389000.0,53755000.0,-47541000.0,205972000.0,37556000.0,0.268
SPNS,2022,1.12649103852228,285307000.0,160285000.0,145956000.0,265490000.0,22240000.0,-9054000.0,52595000.0,1427000.0,0.193
SPOT,2022,1.8435802952593718,4352000000.0,2483000000.0,3516000000.0,5235000000.0,171000000.0,-25000000.0,-430000000.0,58000000.0,0.21
SPR,2022,1.571421404552306,3158300000.0,658600000.0,1952500000.0,6910000000.0,337100000.0,-121600000.0,-545700000.0,244100000.0,0.21
SPRB,2022,1.400998101782024,83608000.0,24487000.0,12447000.0,17162000.0,74000.0,-8000.0,-46180000.0,420000.0,0.0
SPRC,2022,0.8516051241339944,4510000.0,3574000.0,4156000.0,4156000.0,187000.0,-4869000.0,-2592000.0,36000.0,0.23
SPRO,2022,0.8093549887114118,113570000.0,109107000.0,21649000.0,48868000.0,869000.0,,-46415000.0,2605000.0,0.0
SPRU,2022,1.556384495373297,274956000.0,220321000.0,59697000.0,537576000.0,6456000.0,,-93931000.0,11401000.0,0.0
