Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
KDP,2022,0.4746072408478016,3804000000.0,535000000.0,8076000000.0,26712000000.0,709000000.0,-379000000.0,1436000000.0,693000000.0,0.165
KE,2022,0.811000075509478,929427000.0,42955000.0,475148000.0,735725000.0,32416000.0,-90688000.0,55831000.0,16263000.0,0.253
KELYA,2022,0.9947292442339057,1715200000.0,153700000.0,1128800000.0,1409600000.0,51900000.0,-12000000.0,-62500000.0,2100000.0,0.110955
KELYB,2022,0.3576294561894522,1715200000.0,153700000.0,1128800000.0,1409600000.0,51900000.0,-12000000.0,-62500000.0,2100000.0,0.110955
KEN,2022,0.9239190988448017,1061715000.0,535171000.0,192978000.0,1476142000.0,62876000.0,-281286000.0,312652000.0,47542000.0,0.097978
KEP,2022,0.6196648221459093,29750545000000.0,3234780000000.0,44518577000000.0,192804738000000.0,12461412000000.0,-12427386000000.0,-24466853000000.0,2818546000000.0,0.278177
KEQU,2022,0.17877034808487674,87920000.0,8078000.0,40053000.0,80413000.0,2867000.0,-4148000.0,738000.0,1734000.0,0.21
KEX,2022,0.9288045674304448,1211759000.0,80577000.0,642197000.0,2509756000.0,201443000.0,-172606000.0,122291000.0,44588000.0,0.256
KEYS,2022,1.1761102519400157,4234000000.0,2042000000.0,1407000000.0,3937000000.0,223000000.0,-185000000.0,1124000000.0,79000000.0,0.13
KFY,2022,0.9985167911219125,1638669000.0,844024000.0,976260000.0,1921439000.0,68335000.0,-70382000.0,209529000.0,25864000.0,0.28
KGEI,2022,0.5400989136334446,7480000.0,1037000.0,14049000.0,33884000.0,51000.0,-37097000.0,16643000.0,1087000.0,0.0
KHC,2022,0.25416492108240485,7897000000.0,1040000000.0,9028000000.0,41643000000.0,933000000.0,-916000000.0,2363000000.0,921000000.0,0.202
KIDS,2022,1.3013299323062677,226719000.0,8991000.0,30871000.0,49079000.0,13099000.0,-10031000.0,1258000.0,2424000.0,0.21
KIRK,2022,1.4360214419503075,94331000.0,5171000.0,111307000.0,244473000.0,16522000.0,-8120000.0,-44694000.0,1735000.0,0.012
KITT,2022,-0.18206427415428705,36963047.0,17787159.0,3877619.0,52575293.0,516949.0,-14247005.0,-28260571.0,3714017.0,0.0
KLAC,2022,1.6425057060426156,8372032000.0,1927865000.0,3742842000.0,11152604000.0,415113000.0,-341591000.0,3387277000.0,296940000.0,0.106
KLIC,2022,1.5450781847206894,1332046000.0,555537000.0,248681000.0,393949000.0,21293000.0,-22985000.0,433545000.0,208000.0,0.091
KLTR,2022,1.376061000856748,133034000.0,44625000.0,108837000.0,162825000.0,2707000.0,-5977000.0,-68495000.0,6549000.0,0.21
KLXE,2022,0.9852685670424071,254700000.0,57400000.0,154400000.0,481700000.0,56800000.0,-35600000.0,-3100000.0,35000000.0,0.21
KMB,2022,0.34633676272524905,5729000000.0,427000000.0,7334000000.0,17270000000.0,754000000.0,-876000000.0,1934000000.0,282000000.0,0.212
KMDA,2022,0.6434089868231228,139005000.0,34258000.0,75705000.0,146359000.0,12155000.0,-3784000.0,-2321000.0,914000.0,0.23
KMT,2022,1.1465191784892872,1026789000.0,106021000.0,433975000.0,1233066000.0,134025000.0,-94385000.0,118459000.0,28496000.0,0.227
KMX,2022,1.3706805237190725,5041367000.0,314758000.0,1938311000.0,20569659000.0,265224000.0,-422710000.0,484762000.0,430698000.0,0.239
KN,2022,0.8481433080762854,362400000.0,48200000.0,99100000.0,191000000.0,53900000.0,-32100000.0,-430100000.0,4300000.0,0.21
KNDI,2022,1.025254610193151,329322973.0,84063717.0,81505848.0,85289305.0,12427973.0,-3820129.0,-12123663.0,707488.0,0.0365
KNOP,2022,0.36241914306426454,85934000.0,47579000.0,389992000.0,1081741000.0,105977000.0,-3309000.0,58667000.0,39912000.0,0.01
KNTK,2022,0.7282516396910951,241867000.0,6394000.0,227828000.0,3647077000.0,260345000.0,-221579000.0,135518000.0,139683000.0,0.0103
KNW,2022,0.5133370085519235,12593692.0,12593692.0,3808635.0,3895753.0,356958.0,-855468.0,-20071244.0,8034081.0,0.0
KNX,2022,0.924867596453083,1493572000.0,196770000.0,894007000.0,3996385000.0,659824000.0,-800563000.0,771325000.0,50803000.0,0.244
KO,2022,0.48754032790079244,22591000000.0,9519000000.0,19724000000.0,66937000000.0,1260000000.0,-1484000000.0,9542000000.0,882000000.0,0.181
KOD,2022,1.8773736588472576,486005000.0,190433000.0,52496000.0,230461000.0,11001000.0,-47363000.0,-333823000.0,18000.0,0.0
KODK,2022,1.636837770459827,681000000.0,217000000.0,293000000.0,1041000000.0,29000000.0,-31000000.0,26000000.0,40000000.0,0.16129
KOF,2022,0.5500100628258967,79212000000.0,40277000000.0,57960000000.0,146119000000.0,10425000000.0,-17735000000.0,19034000000.0,4236000000.0,0.2538
KOP,2022,1.0183147866437083,636800000.0,33300000.0,324000000.0,1308400000.0,56100000.0,-105300000.0,63400000.0,44800000.0,0.331
KORE,2022,1.1940496051601341,103220000.0,34645000.0,48841000.0,508009000.0,56717000.0,-16545000.0,-106200000.0,31835000.0,0.089
KPLT,2022,1.7207558655498627,126785000.0,65430000.0,50075000.0,132118000.0,117202000.0,-1505000.0,-40472000.0,19264000.0,0.001
KPRX,2022,1.2752290301194456,7680666.0,5964556.0,3272363.0,7270659.0,41609.0,,-13583610.0,8599.0,0.0285
KPTI,2022,1.4735486927368646,350162000.0,135188000.0,65908000.0,374828000.0,621000.0,-118000.0,-165291000.0,24996000.0,0.21
KR,2022,0.3407180206260874,12670000000.0,1015000000.0,17238000000.0,39609000000.0,3579000000.0,-3078000000.0,2244000000.0,535000000.0,0.225
KRC,2022,0.8784976381422048,855073000.0,347379000.0,734036000.0,5122026000.0,358383000.0,-586609000.0,232615000.0,84278000.0,0.21
KRG,2022,0.9730131435085682,223271000.0,115799000.0,249849000.0,3570097000.0,472969000.0,-158540000.0,-12636000.0,104276000.0,0.21
